,Timestamp,Values
349,4/8/2020 13,321.8
350,4/8/2020 14,321.8
351,4/8/2020 15,321.8
352,4/8/2020 16,321.8
353,4/8/2020 17,321.8
354,4/8/2020 18,321.8
355,4/8/2020 19,321.8
356,4/8/2020 20,321.8
357,4/8/2020 21,321.8
358,4/8/2020 22,321.8
359,4/8/2020 23,321.8
360,4/9/2020 0,321.8
361,4/9/2020 1,321.8
362,4/9/2020 2,321.8
363,4/9/2020 3,321.8
364,4/9/2020 4,321.8
365,4/9/2020 5,321.8
366,4/9/2020 6,321.8
367,4/9/2020 7,321.8
368,4/9/2020 8,321.8
369,4/9/2020 9,321.8
370,4/9/2020 10,321.8
371,4/9/2020 11,322.0
372,4/9/2020 12,322.0
373,4/9/2020 13,322.0
374,4/9/2020 14,322.0
375,4/9/2020 15,322.0
376,4/9/2020 16,322.0
377,4/9/2020 17,322.0
378,4/9/2020 18,322.0
379,4/9/2020 19,322.0
380,4/9/2020 20,322.0
381,4/9/2020 21,322.0
382,4/9/2020 22,322.0
383,4/9/2020 23,322.0
384,4/10/2020 0,322.0
385,4/10/2020 1,322.0
386,4/10/2020 2,322.0
387,4/10/2020 3,322.0
388,4/10/2020 4,322.0
389,4/10/2020 5,322.0
390,4/10/2020 6,322.0
391,4/10/2020 7,322.0
392,4/10/2020 8,322.0
393,4/10/2020 9,322.0
394,4/10/2020 10,322.0
395,4/10/2020 11,322.0
396,4/10/2020 12,322.0
397,4/10/2020 13,322.0
398,4/10/2020 14,322.0
399,4/10/2020 15,322.0
400,4/10/2020 16,322.0
401,4/10/2020 17,322.0
402,4/10/2020 18,322.0
403,4/10/2020 19,322.0
404,4/10/2020 20,322.0
405,4/10/2020 21,322.0
406,4/10/2020 22,322.0
407,4/10/2020 23,322.0
408,4/11/2020 0,322.0
409,4/11/2020 1,322.0
410,4/11/2020 2,322.0
411,4/11/2020 3,322.0
412,4/11/2020 4,322.0
413,4/11/2020 5,322.0
414,4/11/2020 6,322.0
415,4/11/2020 7,322.0
416,4/11/2020 8,322.0
417,4/11/2020 9,322.0
418,4/11/2020 10,322.0
419,4/11/2020 11,322.0
420,4/11/2020 12,322.0
421,4/11/2020 13,322.0
422,4/11/2020 14,322.0
423,4/11/2020 15,322.0
424,4/11/2020 16,322.0
425,4/11/2020 17,322.0
426,4/11/2020 18,322.0
427,4/11/2020 19,322.0
428,4/11/2020 20,322.0
429,4/11/2020 21,322.0
430,4/11/2020 22,322.0
431,4/11/2020 23,322.0
432,4/12/2020 0,322.0
433,4/12/2020 1,322.0
434,4/12/2020 2,322.0
435,4/12/2020 3,322.0
436,4/12/2020 4,322.0
437,4/12/2020 5,322.0
438,4/12/2020 6,322.0
439,4/12/2020 7,322.0
440,4/12/2020 8,322.0
441,4/12/2020 9,322.0
442,4/12/2020 10,322.0
443,4/12/2020 11,322.0
444,4/12/2020 12,322.0
445,4/12/2020 13,322.0
446,4/12/2020 14,322.0
447,4/12/2020 15,322.0
448,4/12/2020 16,322.0
449,4/12/2020 17,322.0
450,4/12/2020 18,322.0
451,4/12/2020 19,322.0
452,4/12/2020 20,322.0
453,4/12/2020 21,322.0
454,4/12/2020 22,322.0
455,4/12/2020 23,322.0
456,4/13/2020 0,322.0
457,4/13/2020 1,322.0
458,4/13/2020 2,322.0
459,4/13/2020 3,322.0
460,4/13/2020 4,322.0
461,4/13/2020 5,322.0
462,4/13/2020 6,322.0
463,4/13/2020 7,322.0
464,4/13/2020 8,322.0
465,4/13/2020 9,322.0
466,4/13/2020 10,322.0
467,4/13/2020 11,322.0
468,4/13/2020 12,322.0
469,4/13/2020 13,322.0
470,4/13/2020 14,322.0
471,4/13/2020 15,322.0
472,4/13/2020 16,322.0
473,4/13/2020 17,322.0
474,4/13/2020 18,322.0
475,4/13/2020 19,322.0
476,4/13/2020 20,322.0
477,4/13/2020 21,322.0
478,4/13/2020 22,322.0
479,4/13/2020 23,322.0
480,4/14/2020 0,322.0
481,4/14/2020 1,322.0
482,4/14/2020 2,322.0
483,4/14/2020 3,322.0
484,4/14/2020 4,322.0
485,4/14/2020 5,322.0
486,4/14/2020 6,322.0
487,4/14/2020 7,322.0
488,4/14/2020 8,322.0
489,4/14/2020 9,322.0
490,4/14/2020 10,322.0
491,4/14/2020 11,322.0
492,4/14/2020 12,322.0
493,4/14/2020 13,322.0
494,4/14/2020 14,322.0
495,4/14/2020 15,322.0
496,4/14/2020 16,322.0
497,4/14/2020 17,322.0
498,4/14/2020 18,322.0
499,4/14/2020 19,322.0
500,4/14/2020 20,322.0
501,4/14/2020 21,322.0
502,4/14/2020 22,322.0
503,4/14/2020 23,322.0
504,4/15/2020 0,322.0
505,4/15/2020 1,322.0
506,4/15/2020 2,322.0
507,4/15/2020 3,322.0
508,4/15/2020 4,322.0
509,4/15/2020 5,322.0
510,4/15/2020 6,322.0
511,4/15/2020 7,322.0
512,4/15/2020 8,322.0
513,4/15/2020 9,322.0
514,4/15/2020 10,322.0
515,4/15/2020 11,322.0
516,4/15/2020 12,322.0
517,4/15/2020 13,322.0
518,4/15/2020 14,322.0
519,4/15/2020 15,322.0
520,4/15/2020 16,322.2
521,4/15/2020 17,322.4
522,4/15/2020 18,322.4
523,4/15/2020 19,322.4
524,4/15/2020 20,322.4
525,4/15/2020 21,322.4
526,4/15/2020 22,322.4
527,4/15/2020 23,322.4
528,4/16/2020 0,322.4
529,4/16/2020 1,322.4
530,4/16/2020 2,322.4
531,4/16/2020 3,322.4
532,4/16/2020 4,322.4
533,4/16/2020 5,322.4
534,4/16/2020 6,322.4
535,4/16/2020 7,322.4
536,4/16/2020 8,322.4
537,4/16/2020 9,322.4
538,4/16/2020 10,322.4
539,4/16/2020 11,322.4
540,4/16/2020 12,322.4
541,4/16/2020 13,322.4
542,4/16/2020 14,322.4
543,4/16/2020 15,322.4
544,4/16/2020 16,322.4
545,4/16/2020 17,322.4
546,4/16/2020 18,322.4
547,4/16/2020 19,322.4
548,4/16/2020 20,322.4
549,4/16/2020 21,322.4
550,4/16/2020 22,322.4
551,4/16/2020 23,322.4
552,4/17/2020 0,322.4
553,4/17/2020 1,322.4
554,4/17/2020 2,322.4
555,4/17/2020 3,322.4
556,4/17/2020 4,322.4
557,4/17/2020 5,322.4
