,Timestamp,Values
480,4/14/2020 0,1.416065
481,4/14/2020 1,1.463815
482,4/14/2020 2,1.463815
483,4/14/2020 3,1.368315
484,4/14/2020 4,1.416065
485,4/14/2020 5,1.416065
486,4/14/2020 6,1.368315
487,4/14/2020 7,1.43994
488,4/14/2020 8,1.43994
489,4/14/2020 9,1.416065
490,4/14/2020 10,1.368315
491,4/14/2020 11,1.48769
492,4/14/2020 12,1.416065
493,4/14/2020 13,1.416065
494,4/14/2020 14,1.416065
495,4/14/2020 15,1.463815
496,4/14/2020 16,1.416065
497,4/14/2020 17,1.463815
498,4/14/2020 18,1.416065
499,4/14/2020 19,1.39219
500,4/14/2020 20,1.416065
501,4/14/2020 21,1.416065
502,4/14/2020 22,1.39219
503,4/14/2020 23,1.43994
504,4/15/2020 0,1.39219
505,4/15/2020 1,1.368315
506,4/15/2020 2,1.368315
507,4/15/2020 3,1.39219
508,4/15/2020 4,1.416065
509,4/15/2020 5,1.416065
510,4/15/2020 6,1.39219
511,4/15/2020 7,1.43994
512,4/15/2020 8,1.416065
513,4/15/2020 9,1.39219
514,4/15/2020 10,1.416065
515,4/15/2020 11,1.463815
516,4/15/2020 12,1.43994
517,4/15/2020 13,1.463815
518,4/15/2020 14,1.416065
519,4/15/2020 15,1.43994
520,4/15/2020 16,1.416065
521,4/15/2020 17,1.416065
522,4/15/2020 18,1.416065
523,4/15/2020 19,1.82194
524,4/15/2020 20,1.654815
525,4/15/2020 21,1.7741900000000002
526,4/15/2020 22,1.750315
527,4/15/2020 23,1.702565
528,4/16/2020 0,1.7741900000000002
529,4/16/2020 1,1.7264400000000002
530,4/16/2020 2,1.63094
531,4/16/2020 3,1.607065
532,4/16/2020 4,1.607065
533,4/16/2020 5,1.511565
534,4/16/2020 6,1.58319
535,4/16/2020 7,1.53544
536,4/16/2020 8,1.559315
537,4/16/2020 9,1.559315
538,4/16/2020 10,1.48769
539,4/16/2020 11,1.53544
540,4/16/2020 12,1.511565
541,4/16/2020 13,1.463815
542,4/16/2020 14,1.559315
543,4/16/2020 15,1.43994
544,4/16/2020 16,1.463815
545,4/16/2020 17,1.511565
546,4/16/2020 18,1.511565
547,4/16/2020 19,1.48769
548,4/16/2020 20,1.511565
549,4/16/2020 21,1.654815
550,4/16/2020 22,1.463815
551,4/16/2020 23,1.463815
552,4/17/2020 0,1.463815
553,4/17/2020 1,1.463815
554,4/17/2020 2,1.416065
555,4/17/2020 3,1.463815
556,4/17/2020 4,1.416065
557,4/17/2020 5,1.463815
558,4/17/2020 6,1.416065
559,4/17/2020 7,1.368315
560,4/17/2020 8,1.43994
561,4/17/2020 9,1.416065
562,4/17/2020 10,1.43994
563,4/17/2020 11,1.463815
564,4/17/2020 12,1.48769
565,4/17/2020 13,1.416065
566,4/17/2020 14,1.463815
567,4/17/2020 15,1.463815
568,4/17/2020 16,1.43994
569,4/17/2020 17,1.463815
570,4/17/2020 18,1.416065
571,4/17/2020 19,1.48769
572,4/17/2020 20,1.463815
573,4/17/2020 21,1.7264400000000002
574,4/17/2020 22,1.416065
575,4/17/2020 23,1.463815
576,4/18/2020 0,1.416065
577,4/18/2020 1,1.39219
578,4/18/2020 2,1.416065
579,4/18/2020 3,1.463815
580,4/18/2020 4,1.416065
581,4/18/2020 5,1.43994
582,4/18/2020 6,1.368315
583,4/18/2020 7,1.368315
584,4/18/2020 8,1.463815
585,4/18/2020 9,1.368315
586,4/18/2020 10,1.43994
587,4/18/2020 11,1.48769
588,4/18/2020 12,1.416065
589,4/18/2020 13,1.463815
590,4/18/2020 14,1.511565
591,4/18/2020 15,1.43994
592,4/18/2020 16,1.511565
593,4/18/2020 17,1.48769
594,4/18/2020 18,1.416065
595,4/18/2020 19,1.463815
596,4/18/2020 20,1.48769
597,4/18/2020 21,1.463815
598,4/18/2020 22,1.53544
599,4/18/2020 23,1.463815
600,4/19/2020 0,1.511565
601,4/19/2020 1,1.48769
602,4/19/2020 2,1.43994
603,4/19/2020 3,1.463815
604,4/19/2020 4,1.463815
605,4/19/2020 5,1.463815
606,4/19/2020 6,1.416065
607,4/19/2020 7,1.416065
608,4/19/2020 8,1.43994
609,4/19/2020 9,1.43994
610,4/19/2020 10,1.43994
611,4/19/2020 11,1.511565
612,4/19/2020 12,1.463815
613,4/19/2020 13,1.463815
614,4/19/2020 14,1.463815
615,4/19/2020 15,1.43994
616,4/19/2020 16,1.48769
617,4/19/2020 17,1.607065
618,4/19/2020 18,1.654815
619,4/19/2020 19,1.7264400000000002
620,4/19/2020 20,1.7741900000000002
621,4/19/2020 21,1.702565
622,4/19/2020 22,1.6786900000000002
623,4/19/2020 23,1.7264400000000002
624,4/20/2020 0,1.654815
625,4/20/2020 1,1.63094
626,4/20/2020 2,1.654815
627,4/20/2020 3,1.607065
628,4/20/2020 4,1.53544
629,4/20/2020 5,1.559315
630,4/20/2020 6,1.511565
631,4/20/2020 7,1.511565
632,4/20/2020 8,1.511565
633,4/20/2020 9,1.53544
634,4/20/2020 10,1.53544
635,4/20/2020 11,1.48769
636,4/20/2020 12,1.511565
637,4/20/2020 13,1.48769
638,4/20/2020 14,1.48769
639,4/20/2020 15,1.559315
640,4/20/2020 16,1.511565
641,4/20/2020 17,1.559315
642,4/20/2020 18,1.53544
643,4/20/2020 19,1.48769
644,4/20/2020 20,1.53544
645,4/20/2020 21,1.511565
646,4/20/2020 22,1.511565
647,4/20/2020 23,1.53544
648,4/21/2020 0,1.511565
649,4/21/2020 1,1.511565
650,4/21/2020 2,1.53544
651,4/21/2020 3,1.53544
652,4/21/2020 4,1.9174400000000005
653,4/21/2020 5,1.7980650000000002
654,4/21/2020 6,1.7980650000000002
655,4/21/2020 7,1.750315
656,4/21/2020 8,1.6786900000000002
657,4/21/2020 9,1.6786900000000002
658,4/21/2020 10,1.607065
659,4/21/2020 11,1.654815
660,4/21/2020 12,1.702565
661,4/21/2020 13,1.654815
662,4/21/2020 14,1.6786900000000002
663,4/21/2020 15,1.58319
664,4/21/2020 16,1.63094
665,4/21/2020 17,1.58319
666,4/21/2020 18,1.607065
667,4/21/2020 19,1.53544
668,4/21/2020 20,1.511565
669,4/21/2020 21,1.58319
670,4/21/2020 22,1.58319
671,4/21/2020 23,1.58319
672,4/22/2020 0,1.48769
673,4/22/2020 1,1.463815
674,4/22/2020 2,1.463815
675,4/22/2020 3,1.53544
676,4/22/2020 4,1.463815
677,4/22/2020 5,1.463815
678,4/22/2020 6,1.43994
679,4/22/2020 7,1.48769
680,4/22/2020 8,1.43994
681,4/22/2020 9,1.463815
682,4/22/2020 10,1.511565
683,4/22/2020 11,1.463815
684,4/22/2020 12,1.463815
685,4/22/2020 13,1.511565
686,4/22/2020 14,1.48769
687,4/22/2020 15,1.511565
688,4/22/2020 16,1.463815
689,4/22/2020 17,1.463815
690,4/22/2020 18,1.53544
691,4/22/2020 19,1.511565
692,4/22/2020 20,1.53544
693,4/22/2020 21,1.48769
694,4/22/2020 22,1.48769
695,4/22/2020 23,1.511565
696,4/23/2020 0,1.463815
697,4/23/2020 1,1.43994
698,4/23/2020 2,1.48769
699,4/23/2020 3,1.48769
700,4/23/2020 4,1.43994
701,4/23/2020 5,1.463815
702,4/23/2020 6,1.48769
703,4/23/2020 7,1.48769
704,4/23/2020 8,1.43994
705,4/23/2020 9,1.43994
706,4/23/2020 10,1.43994
707,4/23/2020 11,1.43994
708,4/23/2020 12,1.43994
709,4/23/2020 13,0.9863149999999988
710,4/23/2020 14,1.43994
711,4/23/2020 15,1.511565
712,4/23/2020 16,1.511565
713,4/23/2020 17,1.43994
714,4/23/2020 18,1.511565
715,4/23/2020 19,1.43994
716,4/23/2020 20,1.463815
717,4/23/2020 21,1.416065
718,4/23/2020 22,1.416065
719,4/23/2020 23,1.43994
720,4/24/2020 0,1.463815
721,4/24/2020 1,1.43994
722,4/24/2020 2,1.43994
723,4/24/2020 3,1.48769
724,4/24/2020 4,1.43994
725,4/24/2020 5,1.463815
726,4/24/2020 6,1.416065
727,4/24/2020 7,1.463815
728,4/24/2020 8,1.463815
729,4/24/2020 9,1.416065
730,4/24/2020 10,1.416065
731,4/24/2020 11,1.463815
732,4/24/2020 12,1.559315
733,4/24/2020 13,1.48769
734,4/24/2020 14,1.48769
735,4/24/2020 15,1.43994
736,4/24/2020 16,1.43994
737,4/24/2020 17,1.416065
